sample_id	MEND	Gene	Expression	Type	Threshold	effective_length
TH03_0004_S03	17986551.18	RP11-242J7.1	3.48155728071	Up	0.277918636799	416.64
TH01_0069_S01	18836783.99	RP11-673C5.1	3.60762622085	Down	4.06411027908	477.68
TH03_0148_S01	17333142.06	SEC61G	4.19534759832	Down	5.82154655457	343.63
TH01_0069_S01	18836783.99	NAA38	4.10768786931	Down	4.46408939362	410.33
TH03_0148_S01	17333142.06	DEFA1B	4.41006969176	Up	0.6579002738	364.55
TH03_0014_S01	18738948.915	RP11-521M14.1	3.89820835251	Up	0	403.34
TH01_0069_S01	18836783.99	NDUFA1	3.08406426479	Down	5.55127191544	597.67
TH03_0022_S01	19155446.695	GNRHR2P1	3.70929063572	Up	0	468.05
TH01_0069_S01	18836783.99	HIST1H2BL	4.64846544303	Up	1.83354437351	319.69
TH01_0069_S01	18836783.99	DAD1	4.14730669878	Down	6.35763502121	558.42
TH01_0069_S01	18836783.99	NDUFB9	4.0232553523	Down	6.31863117218	543.97
TH03_0148_S01	17333142.06	TRBV5-1	4.41548827105	Up	2.47492456436	528
TH01_0069_S01	18836783.99	TERC	3.90014226036	Up	0.441114872694	372.69
TH03_0014_S01	18738948.915	BRI3	4.66106547981	Down	5.32708835602	545.7
TH03_0022_S01	19155446.695	CTA-363E6.7	3.1093605594	Up	1.51045393944	347.12
TH01_0069_S01	18836783.99	DDT	3.18428029442	Down	4.73060512543	523.28
TH03_0148_S01	17333142.06	IGKV1D-8	4.80632405739	Up	1.8281532526	410
TH01_0069_S01	18836783.99	OST4	4.74200621087	Down	7.01679325104	391.98
TH01_0069_S01	18836783.99	C8orf59	3.00360223668	Down	4.86805677414	410.92
TH03_0148_S01	17333142.06	ANAPC11	4.98913900737	Down	5.38275718689	535.93
TH03_0019_S01	16860989.6	CTD-2139B15.1	3.53106949273	Up	0	427.94
TH03_0019_S01	16860989.6	CH507-42P11.5	4.91886323727	Up	0.627689063549	560.04
TH01_0069_S01	18836783.99	NDUFC2	3.8489984304	Down	5.91773462296	538.08
TH01_0069_S01	18836783.99	TOMM6	3.77294133783	Down	6.27437210083	443.71
TH03_0014_S01	18738948.915	GNRHR2P1	3.98641093525	Up	0	449.34
TH03_0014_S01	18738948.915	LINC00202-2	3.6599245584	Up	0.0714228823781	370
TH03_0148_S01	17333142.06	RP11-325F22.2	3.06350294231	Up	1.93353188038	587.22
TH03_0022_S01	19155446.695	GAPLINC	4.02059109477	Up	3.66187334061	322.93
TH03_0019_S01	16860989.6	VCAN-AS1	4.59633886421	Up	0.566591203213	300.96
TH03_0148_S01	17333142.06	RP11-356K23.1	3.22342254993	Up	0.440806925297	378.61
TH03_0019_S01	16860989.6	DNAAF1	4.71918344048	Up	3.47596597672	529.85
TH01_0069_S01	18836783.99	MIF	4.87627136055	Down	6.47844791412	533.29
TH03_0148_S01	17333142.06	TMEM190	3.49825086753	Up	0.918712258339	469
TH01_0069_S01	18836783.99	PAM16	3.23419472295	Down	3.57477092743	427.55
TH03_0148_S01	17333142.06	TRBV18	4.09254574154	Up	1.99787724018	304.01
TH03_0029_S01	17607899.54	AC093901.1	4.38059093427	Up	1.09823596478	341.84
TH01_0069_S01	18836783.99	MZT2B	4.89287670006	Down	5.66293144226	467.82
TH01_0069_S01	18836783.99	NDUFAB1	3.40871186103	Down	5.27551651001	549.51
TH03_0019_S01	16860989.6	RP11-798K3.2	3.90977310414	Up	0.441114872694	532.44
TH03_0029_S01	17607899.54	NPHP3-ACAD11	3.29130885983	Up	2.13471150398	540.92
TH03_0022_S01	19155446.695	RBAKDN	4.13504228623	Up	1.89209008217	351.11
TH03_0004_S03	17986551.18	RP11-622A1.2	3.83794324189	Up	0	310.54
TH03_0004_S03	17986551.18	TSACC	3.09254574154	Up	2.69668269157	387.33
TH03_0014_S01	18738948.915	LL21NC02-1C16.2	4.0152477737	Up	1.53138589859	470.33
TH01_0069_S01	18836783.99	GABARAP	4.67919857057	Down	7.46486568451	539.27
TH03_0148_S01	17333142.06	MORN5	3.12101540096	Up	2.48215579987	467.55
TH03_0019_S01	16860989.6	RPL13AP5	4.16510798514	Down	4.70746660233	459.94
TH03_0019_S01	16860989.6	SAA2-SAA4	3.17152710604	Up	1.99787724018	590.93
TH03_0029_S01	17607899.54	COX17	4.14404636962	Down	4.17340135574	490.39
TH03_0148_S01	17333142.06	C9orf24	3.74092756032	Up	3.46741819382	574.15
TH03_0014_S01	18738948.915	TRAV3	3.55336050334	Up	1.58088183403	337.36
TH03_0019_S01	16860989.6	RP1-276N6.2	3.02502879449	Up	0	314.95
TH01_0069_S01	18836783.99	POLR2F	3.43696133783	Down	4.54254722595	460.92
TH03_0004_S03	17986551.18	RP11-673C5.1	3.39231742278	Down	4.06407308578	485.95
TH01_0069_S01	18836783.99	BLOC1S1	4.39163026152	Down	5.44933128357	410.75
TH03_0004_S03	17986551.18	OXT	3.92029330021	Up	0.974200367928	352.99
TH01_0069_S01	18836783.99	ATP5J	3.7257411565	Down	6.10667324066	469.19
TH03_0004_S03	17986551.18	RHEBP2	4.7591558338	Up	3.82965970039	439.96
TH01_0069_S01	18836783.99	COX5A	3.31469652566	Down	6.20979404449	442.2
TH03_0022_S01	19155446.695	CSAG3	4.32553033157	Up	2.17978310585	523.04
TH03_0019_S01	16860989.6	GUCA2B	3.16510798514	Up	0.141808778048	444.94
TH03_0022_S01	19155446.695	GS1-114I9.3	3.20476675065	Up	2.46390223503	503.05
TH03_0014_S01	18738948.915	AC005618.8	3.29278174923	Up	1.60408234596	372.35
TH03_0029_S01	17607899.54	BGLAP	4.92409988564	Up	2.75945329666	579.63
TH01_0069_S01	18836783.99	MRPL23	3.5885647374	Down	4.5877494812	514.03
TH01_0069_S01	18836783.99	NDUFB10	3.6599245584	Down	5.72408246994	547.19
TH03_0004_S03	17986551.18	RP11-119D9.1	4.88703779142	Up	1.19209671021	441.76
TH01_0069_S01	18836783.99	RFXANK	3.51475349844	Down	4.32201385498	586.47
TH03_0148_S01	17333142.06	DEFA1	3.21567859661	Up	1.10930132866	361
TH03_0148_S01	17333142.06	LINC01229	4.98686597233	Up	0.717490196228	468.4
TH01_0069_S01	18836783.99	PRDX4	3.70487196446	Down	4.41268968582	835.75
TH01_0069_S01	18836783.99	NHP2	4.173926932	Down	5.38300085068	640.2
TH03_0029_S01	17607899.54	COX16	3.60169651648	Down	3.99532580376	866.82
TH01_0069_S01	18836783.99	PSMA4	3.31034012061	Down	5.55434942245	778.63
TH01_0069_S01	18836783.99	PSMA6	3.47638168757	Down	5.44008827209	850.98
TH01_0069_S01	18836783.99	SUB1	3.79389588255	Down	5.99569511414	707.75
TH01_0069_S01	18836783.99	CST3	3.40871186103	Down	6.16494560242	709.13
TH03_0148_S01	17333142.06	CXCL6	4.95837871157	Up	3.76750183105	755.79
TH03_0148_S01	17333142.06	FAM92B	3.22032995488	Up	1.18794322014	781.98
TH01_0069_S01	18836783.99	NSMCE1	3.66562016407	Down	4.27608776093	868.02
TH01_0069_S01	18836783.99	SF3B6	3.32048467802	Down	5.45917749405	601.34
TH01_0069_S01	18836783.99	POLR2G	3.22342254993	Down	4.85998868942	659.58
TH01_0069_S01	18836783.99	NDUFS8	3.57773093149	Down	5.30568790436	630.53
TH01_0069_S01	18836783.99	NDUFS3	3.51096191928	Down	5.30111694336	754.33
TH01_0069_S01	18836783.99	MRPL43	3.29865831556	Down	4.77188539505	821.92
TH03_0014_S01	18738948.915	ASGR1	4.10768786931	Up	4.08308458328	699.55
TH03_0148_S01	17333142.06	FAM166B	3.31759350462	Up	2.12377333641	726.94
TH01_0069_S01	18836783.99	NHP2L1	4.00539998774	Down	5.40395593643	836.56
TH01_0069_S01	18836783.99	PHPT1	4.08151006812	Down	4.5946097374	682.11
TH01_0069_S01	18836783.99	NME1	4.15946772927	Down	4.5054554939300004	772.71
TH03_0004_S03	17986551.18	TMEM147	4.78083500174	Down	5.04464435577	715.33
TH01_0069_S01	18836783.99	ALKBH7	3.44095219803	Down	4.1283426284800004	623.89
TH03_0014_S01	18738948.915	RPS2P7	4.9968406478	Up	2.66249108315	703.31
TH01_0069_S01	18836783.99	RBM34	4.02502879449	Down	4.24700069427	670.26
TH01_0069_S01	18836783.99	GABARAPL2	3.07382023329	Down	4.60901165009	835.32
TH01_0069_S01	18836783.99	UFC1	4.91599885174	Down	5.42298269272	880.83
TH03_0019_S01	16860989.6	LEAP2	4.04701481952	Up	2.88896489143	651.47
TH01_0069_S01	18836783.99	PPP1R14B	3.15704371015	Down	4.37262439728	700.28
TH01_0069_S01	18836783.99	CLNS1A	3.72246602447	Down	4.71531677246	834.58
TH03_0014_S01	18738948.915	STX18-AS1	3.16671544497	Up	3.0569627285	725.35
TH03_0148_S01	17333142.06	ORM2	3.52982094653	Up	2.100045681	635.99
TH03_0022_S01	19155446.695	TMEM138	3.72246602447	Down	3.77782988548	864.86
TH03_0022_S01	19155446.695	AC024592.12	3.12598165385	Up	3.06550931931	697.22
TH01_0069_S01	18836783.99	PRDX5	4.81659970653	Down	6.00845718384	704.75
TH01_0069_S01	18836783.99	SNRPD3	3.17312743348	Down	4.99323225021	815.61
TH01_0069_S01	18836783.99	MRPS34	3.33055840003	Down	4.93326282501	689.41
TH03_0148_S01	17333142.06	LINC01550	4.19534759832	Up	3.77795791626	766.31
TH03_0004_S03	17986551.18	SRI	4.48928602263	Down	4.59972333908	698.12
TH03_0004_S03	17986551.18	GTF3C6	4.07724299893	Down	4.19879341125	730.68
TH01_0069_S01	18836783.99	VPS29	3.82171021503	Down	5.30135154724	642.58
TH03_0004_S03	17986551.18	CTD-2545H1.2	3.68929916054	Up	0.311149060726	709.94
TH03_0014_S01	18738948.915	CCDC13	3.53605290024	Up	2.27584528923	803.8
TH03_0148_S01	17333142.06	LINC00426	3.92504996473	Up	2.75716280937	767.22
